"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"2101",0,0,0,0,1
"2102",0.006,0,0,0,0.994
"2103",1,0,0,0,0
"2104",0,0,0,0,1
"2105",0.074,0,0,0.47,0.456
"2106",1,0,0,0,0
"2107",0.188,0,0,0.812,0
"2108",0.942,0,0,0,0.058
"2109",1,0,0,0,0
"2110",0.246,0,0,0.748,0.006
"2111",1,0,0,0,0
"2112",0,0.002,0.32,0.002,0.676
"2113",0.274,0,0,0.724,0.002
"2114",0.73,0,0,0.044,0.226
"2115",0.068,0,0,0.154,0.778
"2116",0.834,0,0,0.142,0.024
"2117",0.464,0,0,0.536,0
"2118",0.484,0,0,0.516,0
"2119",0.27,0,0,0.73,0
"2120",0.932,0,0,0.004,0.064
"2121",0.764,0,0,0.146,0.09
"2122",0.952,0,0,0.048,0
"2123",0.49,0,0,0.004,0.506
"2124",0.952,0,0,0,0.048
"2125",0.292,0,0,0.708,0
"2126",0.272,0,0.006,0.712,0.01
"2127",1,0,0,0,0
"2128",0.068,0,0.01,0.168,0.754
"2129",0.94,0,0,0.022,0.038
"2130",0.07,0,0.01,0,0.92
"2131",0.036,0,0.04,0.006,0.918
"2132",0.91,0,0,0.09,0
"2133",0,0,0,0,1
"2134",0,0,0.032,0,0.968
"2135",0,0,0,0,1
"2136",0.998,0,0,0,0.002
"2137",0.982,0,0,0.018,0
"2138",1,0,0,0,0
"2139",0.032,0,0.006,0,0.962
"2140",0.14,0,0,0.856,0.004
"2141",0.348,0,0,0.652,0
"2142",0.064,0,0,0.586,0.35
"2143",0.91,0,0,0.004,0.086
"2144",0.986,0,0,0.014,0
"2145",0,0,0,0,1
"2146",0.842,0,0,0,0.158
"2147",0.286,0,0,0.704,0.01
"2148",0.976,0,0,0.024,0
"2149",0.028,0,0,0,0.972
"2150",0.13,0,0.004,0,0.866
"2151",0.964,0,0,0.034,0.002
"2152",1,0,0,0,0
"2153",0.826,0,0,0.11,0.064
"2154",1,0,0,0,0
"2155",0.786,0,0.002,0.164,0.048
"2156",0.886,0,0.002,0.004,0.108
"2157",0.156,0,0,0,0.844
"2158",0.952,0,0,0.048,0
"2159",0.056,0,0,0,0.944
"2160",0.994,0,0,0,0.006
"2161",1,0,0,0,0
"2162",0.958,0,0,0.042,0
"2163",1,0,0,0,0
"2164",0.05,0,0.01,0.028,0.912
"2165",1,0,0,0,0
"2166",0.758,0,0,0.23,0.012
"2167",0.652,0,0,0.032,0.316
"2168",0.968,0,0,0,0.032
"2169",0.97,0,0,0.002,0.028
"2170",0,0,0,0,1
"2171",1,0,0,0,0
"2172",1,0,0,0,0
"2173",0.696,0,0,0.004,0.3
"2174",0.908,0,0,0.092,0
"2175",0.878,0,0,0,0.122
"2176",0.508,0,0,0.492,0
"2177",0.648,0,0,0.028,0.324
"2178",0.962,0,0,0.038,0
"2179",1,0,0,0,0
"2180",0.864,0,0,0.136,0
"2181",0.954,0,0,0,0.046
"2182",0.988,0,0,0.012,0
"2183",1,0,0,0,0
"2184",0.956,0,0,0.044,0
"2185",0.216,0,0,0.784,0
"2186",0.076,0,0,0.732,0.192
"2187",0.968,0,0,0,0.032
"2188",0.272,0,0,0.728,0
"2189",0.692,0,0,0.058,0.25
"2190",0.952,0,0,0.048,0
"2191",0.43,0,0,0.57,0
"2192",0.98,0,0,0.02,0
"2193",0.98,0,0,0.014,0.006
"2194",0,0,0,0,1
"2195",0.642,0,0.114,0.086,0.158
"2196",0.792,0,0,0.068,0.14
"2197",0.296,0,0,0.704,0
"2198",0.268,0,0.002,0.68,0.05
"2199",0.022,0,0,0,0.978
"2200",0.068,0,0,0.6,0.332
"2201",0.958,0,0,0.042,0
"2202",0.784,0,0.006,0.06,0.15
"2203",0,0,0,0,1
"2204",0.042,0,0.008,0,0.95
"2205",0.016,0,0.014,0.6,0.37
"2206",0.154,0,0,0.842,0.004
"2207",1,0,0,0,0
"2208",0,0,0,0,1
"2209",0.508,0,0,0.492,0
"2210",0.256,0,0,0.744,0
"2211",1,0,0,0,0
"2212",0.976,0,0,0,0.024
"2213",0.19,0,0,0.81,0
"2214",0.198,0.002,0.002,0.78,0.018
"2215",0.07,0,0.01,0.824,0.096
"2216",0.92,0,0,0.05,0.03
"2217",0.058,0,0,0,0.942
"2218",0,0,0,0,1
"2219",0.082,0,0,0,0.918
"2220",0.898,0,0,0.102,0
"2221",0.296,0,0,0.7,0.004
"2222",1,0,0,0,0
"2223",1,0,0,0,0
"2224",0.314,0,0,0.686,0
"2225",0.864,0,0,0.136,0
"2226",0.972,0,0,0,0.028
"2227",0.802,0,0,0.074,0.124
"2228",0.956,0,0,0.044,0
"2229",0.138,0,0.044,0,0.818
"2230",0.342,0,0,0.644,0.014
"2231",0,0,0,0,1
"2232",0.984,0,0,0.016,0
"2233",0.98,0,0,0.02,0
"2234",1,0,0,0,0
"2235",0.804,0,0,0.098,0.098
"2236",0.146,0,0,0.854,0
"2237",0.208,0,0.004,0.774,0.014
"2238",0,0,0,0,1
"2239",0.956,0,0,0.044,0
"2240",0.884,0,0,0.116,0
"2241",1,0,0,0,0
"2242",1,0,0,0,0
"2243",0.96,0,0,0.006,0.034
"2244",0.188,0,0,0.812,0
"2245",0.214,0,0,0.786,0
"2246",0,0,0,0,1
"2247",0.034,0,0,0.008,0.958
"2248",0.866,0,0,0.134,0
"2249",0,0,0,0,1
"2250",0.864,0,0,0.136,0
"2251",1,0,0,0,0
"2252",0.292,0,0,0.708,0
"2253",0.064,0,0,0.586,0.35
"2254",1,0,0,0,0
"2255",0,0,0,0,1
"2256",0.952,0,0,0.048,0
"2257",0.024,0,0,0,0.976
"2258",0.966,0,0,0.002,0.032
"2259",0.98,0,0,0.02,0
"2260",0.444,0,0,0.556,0
"2261",0.934,0,0,0,0.066
"2262",0.798,0,0,0.052,0.15
"2263",0.082,0,0.004,0.062,0.852
"2264",0,0,0,0,1
"2265",0.076,0,0,0.732,0.192
"2266",0.92,0,0,0,0.08
"2267",0.98,0,0,0.02,0
"2268",0.07,0,0.01,0,0.92
"2269",0.006,0,0,0,0.994
"2270",0,0,0,0,1
"2271",0.94,0,0,0.06,0
"2272",0,0,0,0,1
"2273",0.996,0,0,0.004,0
"2274",0.904,0,0,0.034,0.062
"2275",0.972,0,0,0,0.028
"2276",0.026,0,0.01,0,0.964
"2277",0.982,0,0,0.018,0
"2278",0.192,0,0,0.802,0.006
"2279",0,0,0,0,1
"2280",0.052,0,0,0,0.948
"2281",0.952,0,0,0,0.048
"2282",0.26,0,0,0.74,0
"2283",0.292,0,0,0.708,0
"2284",0.888,0,0,0,0.112
"2285",1,0,0,0,0
"2286",0.952,0,0,0.048,0
"2287",0.026,0,0.042,0,0.932
"2288",0.878,0,0,0,0.122
"2289",0.068,0,0,0.018,0.914
"2290",0.698,0,0,0.088,0.214
"2291",0.27,0,0,0.73,0
"2292",0.054,0,0.106,0.056,0.784
"2293",0.09,0,0.002,0,0.908
"2294",0.892,0,0,0,0.108
"2295",0.986,0,0,0.014,0
"2296",1,0,0,0,0
"2297",0.866,0,0,0.134,0
"2298",0.02,0,0.012,0.882,0.086
"2299",0.988,0,0,0.012,0
"2300",0.236,0,0,0.764,0
"2301",0.958,0,0,0.042,0
"2302",0.732,0,0,0.002,0.266
"2303",0.006,0,0,0,0.994
"2304",0.952,0,0,0.048,0
"2305",0.018,0,0.024,0.726,0.232
"2306",0.952,0,0,0.048,0
"2307",0.084,0,0,0.098,0.818
"2308",0.114,0,0,0,0.886
"2309",0,0,0,0,1
"2310",0,0,0,0,1
"2311",0.006,0,0.002,0,0.992
"2312",0.1,0,0,0.004,0.896
"2313",0.986,0,0,0.014,0
"2314",0.976,0,0,0.024,0
"2315",0.986,0,0,0,0.014
"2316",0.888,0,0,0.09,0.022
"2317",0.042,0,0.008,0,0.95
"2318",0.934,0,0,0,0.066
"2319",0,0,0,0,1
"2320",0.064,0,0,0.586,0.35
"2321",1,0,0,0,0
"2322",1,0,0,0,0
"2323",0.878,0,0,0,0.122
"2324",0.98,0,0,0.02,0
"2325",0,0,0,0,1
"2326",1,0,0,0,0
"2327",0,0,0,0,1
"2328",0.296,0,0,0.704,0
"2329",0.996,0,0,0.004,0
"2330",0.64,0,0,0,0.36
"2331",0.948,0,0.002,0.006,0.044
"2332",0.2,0,0,0.798,0.002
"2333",0.346,0,0,0.654,0
"2334",0.518,0,0,0.482,0
"2335",0.694,0,0,0.042,0.264
"2336",0.956,0,0,0.044,0
"2337",0.904,0,0.012,0,0.084
"2338",0,0,0,0,1
"2339",0.636,0,0,0.042,0.322
"2340",1,0,0,0,0
"2341",1,0,0,0,0
"2342",0.842,0,0,0,0.158
"2343",0.12,0,0,0,0.88
"2344",0.914,0,0,0.074,0.012
"2345",0.91,0,0,0.03,0.06
"2346",0,0,0,0,1
"2347",0.088,0,0.002,0.15,0.76
"2348",0,0,0,0,1
"2349",0.056,0,0,0,0.944
"2350",0,0,0,0,1
"2351",0.104,0,0,0,0.896
"2352",0.854,0,0,0.004,0.142
"2353",0.864,0,0,0.136,0
"2354",0,0,0,0,1
"2355",1,0,0,0,0
"2356",0.216,0,0,0.784,0
"2357",0.83,0,0,0.012,0.158
"2358",0.106,0,0.008,0,0.886
"2359",1,0,0,0,0
"2360",0.982,0,0,0.018,0
"2361",0.364,0,0,0.636,0
"2362",1,0,0,0,0
"2363",0.998,0,0,0,0.002
"2364",1,0,0,0,0
"2365",0.742,0,0,0.132,0.126
"2366",0.256,0,0,0.744,0
"2367",0.064,0,0.016,0.592,0.328
"2368",1,0,0,0,0
"2369",0.988,0,0,0.012,0
"2370",0.71,0,0,0.062,0.228
"2371",0.96,0,0,0,0.04
"2372",0.508,0,0,0.492,0
"2373",0.004,0.002,0,0.004,0.99
"2374",0.936,0,0,0,0.064
"2375",0.988,0,0,0.012,0
"2376",0.986,0,0,0.014,0
"2377",0.98,0,0,0.02,0
"2378",0.944,0,0,0.054,0.002
"2379",0.25,0,0,0.75,0
"2380",0,0,0,0,1
"2381",0.89,0,0,0,0.11
"2382",0.068,0,0.024,0.258,0.65
"2383",0.188,0,0,0.812,0
"2384",0.982,0,0,0.018,0
"2385",0.042,0,0.008,0,0.95
"2386",0.192,0,0,0.808,0
"2387",1,0,0,0,0
"2388",0.908,0,0,0.092,0
"2389",0,0,0,0,1
"2390",0.614,0,0.014,0.08,0.292
"2391",0.224,0,0,0.768,0.008
"2392",0.832,0,0.002,0,0.166
"2393",0.188,0,0,0.812,0
"2394",0.908,0,0,0.092,0
"2395",0.01,0,0,0,0.99
"2396",1,0,0,0,0
"2397",0.026,0,0.01,0,0.964
"2398",0.056,0,0,0,0.944
"2399",0.736,0,0,0.006,0.258
"2400",1,0,0,0,0
"2401",0.272,0,0,0.728,0
"2402",0.986,0,0,0.014,0
"2403",0.508,0,0,0.492,0
"2404",0.952,0,0,0.048,0
"2405",0.996,0,0,0,0.004
"2406",0.926,0,0,0,0.074
"2407",0.958,0,0,0.042,0
"2408",0.958,0,0,0.042,0
"2409",0,0,0,0,1
"2410",0.082,0.002,0.158,0.018,0.74
"2411",0.418,0,0,0.58,0.002
"2412",0.944,0,0,0.054,0.002
"2413",0,0,0.058,0.002,0.94
"2414",0.272,0,0,0.728,0
"2415",0.874,0,0,0,0.126
"2416",1,0,0,0,0
"2417",0.008,0,0.73,0.052,0.21
"2418",0,0,0.016,0,0.984
"2419",0.19,0,0.002,0.804,0.004
"2420",0.194,0,0.002,0.804,0
"2421",0.004,0.002,0.088,0,0.906
"2422",0.142,0,0,0.858,0
"2423",1,0,0,0,0
"2424",0.98,0,0,0.02,0
"2425",0.076,0,0,0.308,0.616
"2426",0.246,0,0.008,0.746,0
"2427",0.006,0,0.004,0,0.99
"2428",0.956,0,0,0.044,0
"2429",0.908,0,0,0.092,0
"2430",0.998,0,0,0,0.002
"2431",1,0,0,0,0
"2432",0.878,0,0,0,0.122
"2433",1,0,0,0,0
"2434",0.216,0,0,0,0.784
"2435",0.968,0,0,0,0.032
"2436",0.004,0,0.2,0.002,0.794
"2437",0.96,0,0,0,0.04
"2438",0.724,0,0.04,0.072,0.164
"2439",1,0,0,0,0
"2440",0.078,0,0.006,0.016,0.9
"2441",0.3,0,0,0.7,0
"2442",0.366,0,0,0.634,0
"2443",0.308,0,0.002,0,0.69
"2444",0.98,0,0,0.02,0
"2445",0.01,0.01,0.098,0,0.882
"2446",0.25,0,0,0.748,0.002
"2447",1,0,0,0,0
"2448",0.96,0,0,0,0.04
"2449",1,0,0,0,0
"2450",0.926,0,0.004,0.022,0.048
"2451",0.02,0,0.018,0.824,0.138
"2452",0.01,0,0.002,0,0.988
"2453",0.034,0,0.002,0,0.964
"2454",0.864,0,0,0.136,0
"2455",1,0,0,0,0
"2456",1,0,0,0,0
"2457",0.026,0,0.01,0,0.964
"2458",0.928,0,0,0,0.072
"2459",0,0,0,0,1
"2460",0.776,0,0.002,0.016,0.206
"2461",0.956,0,0,0.044,0
"2462",0.286,0,0,0.704,0.01
"2463",0.84,0,0,0.002,0.158
"2464",1,0,0,0,0
"2465",0.952,0,0,0.048,0
"2466",0.97,0,0,0,0.03
"2467",1,0,0,0,0
"2468",0,0,0,0,1
"2469",1,0,0,0,0
"2470",1,0,0,0,0
"2471",0.878,0,0,0,0.122
"2472",0.938,0,0,0,0.062
"2473",0.914,0,0,0,0.086
"2474",0.956,0,0,0.044,0
"2475",0.27,0,0,0.73,0
"2476",0.002,0,0.004,0,0.994
"2477",0.03,0,0.008,0.906,0.056
"2478",0.026,0,0.03,0,0.944
"2479",0.582,0,0,0.002,0.416
"2480",0.956,0,0,0.044,0
"2481",0.684,0,0.076,0.11,0.13
"2482",0.492,0,0,0,0.508
"2483",0.628,0,0,0.072,0.3
"2484",0,0,0,0,1
"2485",1,0,0,0,0
"2486",0.986,0,0,0.014,0
"2487",0.952,0,0,0.048,0
"2488",0.952,0,0,0.048,0
"2489",0,0,0,0,1
"2490",0.96,0,0,0,0.04
"2491",0.966,0,0,0.014,0.02
"2492",0.982,0,0,0.018,0
"2493",0.024,0,0.002,0.882,0.092
"2494",0,0,0,0,1
"2495",1,0,0,0,0
"2496",1,0,0,0,0
"2497",0.96,0,0,0.006,0.034
"2498",0,0,0,0,1
"2499",0,0,0.01,0,0.99
"2500",0.002,0.004,0.026,0.004,0.964
"2501",0.864,0,0,0.136,0
"2502",0.212,0,0,0.788,0
"2503",0.99,0,0,0.002,0.008
"2504",1,0,0,0,0
"2505",0.696,0,0,0.064,0.24
"2506",0.282,0,0,0.718,0
"2507",0,0.002,0.04,0,0.958
"2508",0.996,0,0,0.004,0
"2509",0.03,0,0.03,0,0.94
"2510",1,0,0,0,0
"2511",0.982,0,0,0.018,0
"2512",0.982,0,0,0.018,0
"2513",0.006,0.01,0.23,0.002,0.752
"2514",0,0,0,0,1
"2515",0.952,0,0,0.048,0
"2516",0.834,0,0,0.166,0
"2517",0.024,0,0.004,0.02,0.952
"2518",1,0,0,0,0
"2519",0.074,0,0,0.31,0.616
"2520",0.236,0,0.002,0.758,0.004
"2521",0.274,0,0.004,0.722,0
"2522",0.982,0,0,0.018,0
"2523",0.998,0,0,0,0.002
"2524",0.076,0,0,0.732,0.192
"2525",0.074,0,0,0.31,0.616
"2526",0.91,0,0,0,0.09
"2527",0.986,0,0,0.014,0
"2528",0.308,0,0,0.692,0
"2529",0.366,0,0,0.634,0
"2530",0,0,0,0,1
"2531",0.028,0,0,0,0.972
"2532",0,0,0,0,1
"2533",0.958,0,0,0,0.042
"2534",0.036,0.01,0.118,0.01,0.826
"2535",0.888,0,0,0.09,0.022
"2536",0.958,0,0,0.042,0
"2537",0.08,0,0,0.004,0.916
"2538",0.092,0,0.018,0.012,0.878
"2539",0,0,0.016,0,0.984
"2540",0.042,0,0.004,0,0.954
"2541",1,0,0,0,0
"2542",1,0,0,0,0
"2543",0.972,0,0,0,0.028
"2544",1,0,0,0,0
"2545",1,0,0,0,0
"2546",0.056,0,0,0,0.944
"2547",0.292,0,0,0.708,0
"2548",0.996,0,0,0.002,0.002
"2549",0.988,0,0,0.012,0
"2550",0.072,0,0,0.132,0.796
"2551",0.95,0,0,0.026,0.024
"2552",0,0,0,0,1
"2553",0.98,0,0,0.02,0
"2554",0.888,0,0,0,0.112
"2555",0.974,0,0,0.026,0
"2556",0,0,0,0,1
"2557",0.988,0,0,0.012,0
"2558",0.962,0,0,0,0.038
"2559",0.982,0,0,0.018,0
"2560",0.92,0,0,0.024,0.056
"2561",0.272,0,0,0.728,0
"2562",0.866,0,0,0.134,0
"2563",0.188,0,0,0.812,0
"2564",0.96,0,0,0,0.04
"2565",1,0,0,0,0
"2566",0.018,0,0.004,0.77,0.208
"2567",0.022,0,0.006,0.68,0.292
"2568",0.866,0,0,0.134,0
"2569",0.684,0,0.076,0.11,0.13
"2570",1,0,0,0,0
"2571",0.764,0,0,0.074,0.162
"2572",0.346,0,0,0.654,0
"2573",0.248,0,0,0.748,0.004
"2574",1,0,0,0,0
"2575",1,0,0,0,0
"2576",0.106,0,0.008,0,0.886
"2577",0.982,0,0,0.018,0
"2578",0.436,0,0,0.56,0.004
"2579",0.768,0,0,0.052,0.18
"2580",0.74,0,0,0.002,0.258
"2581",1,0,0,0,0
"2582",0.248,0,0,0.748,0.004
"2583",0.998,0,0,0,0.002
"2584",0.176,0,0,0.824,0
"2585",0.952,0,0,0.048,0
"2586",0.448,0,0,0.552,0
"2587",0.022,0,0.006,0.68,0.292
"2588",0.028,0,0,0,0.972
"2589",0.968,0,0,0,0.032
"2590",0,0,0,0,1
"2591",0.844,0,0,0.002,0.154
"2592",1,0,0,0,0
"2593",0,0,0,0,1
"2594",0.026,0,0.03,0,0.944
"2595",0.864,0,0,0.136,0
"2596",0.056,0,0,0,0.944
"2597",1,0,0,0,0
"2598",0.602,0,0.004,0.08,0.314
"2599",0.352,0,0,0.648,0
"2600",0.994,0,0,0,0.006
"2601",0.944,0,0,0.054,0.002
"2602",0.14,0,0,0,0.86
"2603",0.056,0,0,0,0.944
"2604",0.464,0,0,0.536,0
"2605",1,0,0,0,0
"2606",0.022,0,0.006,0.68,0.292
"2607",0.852,0,0.02,0.082,0.046
"2608",0.256,0,0,0.744,0
"2609",0.24,0,0,0.76,0
"2610",0.3,0,0,0.7,0
"2611",0.068,0,0.012,0.036,0.884
"2612",0.982,0,0,0.018,0
"2613",0.204,0,0,0.792,0.004
"2614",0.986,0,0,0.014,0
"2615",1,0,0,0,0
"2616",0.94,0,0,0,0.06
"2617",0.076,0,0,0.308,0.616
"2618",0.398,0,0,0.602,0
"2619",0.508,0,0,0.492,0
"2620",0.97,0,0,0.03,0
"2621",0,0.004,0,0,0.996
"2622",0.3,0,0,0.7,0
"2623",0.952,0,0,0.048,0
"2624",1,0,0,0,0
"2625",0.256,0,0,0.744,0
"2626",0,0,0.004,0,0.996
"2627",0.696,0,0,0.004,0.3
"2628",0.944,0,0,0,0.056
"2629",0.86,0,0,0.01,0.13
"2630",0.09,0,0.002,0,0.908
"2631",0.72,0,0.002,0.226,0.052
"2632",0.96,0,0,0,0.04
"2633",0,0,0,0,1
"2634",0.812,0,0,0.18,0.008
"2635",0.184,0,0,0.808,0.008
"2636",0.982,0,0,0,0.018
"2637",0.2,0,0,0.798,0.002
"2638",1,0,0,0,0
"2639",1,0,0,0,0
"2640",0.972,0,0,0.02,0.008
"2641",1,0,0,0,0
"2642",0.056,0,0.036,0.492,0.416
"2643",0.068,0,0,0.108,0.824
"2644",1,0,0,0,0
"2645",0.434,0,0,0.562,0.004
"2646",0,0,0,0,1
"2647",0,0,0,0,1
"2648",0.01,0,0,0,0.99
"2649",0.946,0,0,0,0.054
"2650",0,0,0,0,1
"2651",1,0,0,0,0
"2652",0,0,0,0,1
"2653",1,0,0,0,0
"2654",0.958,0,0,0.042,0
"2655",0,0,0.022,0.004,0.974
"2656",0.248,0,0,0.746,0.006
"2657",0.96,0,0,0.006,0.034
"2658",0.08,0,0,0,0.92
"2659",0,0,0,0,1
"2660",0.622,0,0,0.004,0.374
"2661",0.092,0,0.006,0.024,0.878
"2662",1,0,0,0,0
"2663",0.198,0,0,0.802,0
"2664",0.968,0,0,0.032,0
"2665",0.982,0,0,0.018,0
"2666",0.98,0,0,0.02,0
"2667",0.346,0,0,0.654,0
"2668",0.98,0,0,0.02,0
"2669",0.864,0,0,0.136,0
"2670",0.878,0,0,0,0.122
"2671",0.232,0,0.118,0.118,0.532
"2672",0.506,0,0,0.066,0.428
"2673",0.188,0,0,0.812,0
"2674",0.986,0,0,0.014,0
"2675",0.056,0,0.012,0.008,0.924
"2676",0.054,0.006,0,0,0.94
"2677",0.902,0,0,0,0.098
"2678",0,0,0,0,1
"2679",0.192,0,0,0.808,0
"2680",0,0,0,0,1
"2681",0,0,0,0,1
"2682",0,0,0,0,1
"2683",1,0,0,0,0
"2684",0.998,0,0,0,0.002
"2685",0.29,0,0,0.702,0.008
"2686",0.072,0,0,0.012,0.916
"2687",0.966,0,0,0.034,0
"2688",0.824,0,0.004,0.118,0.054
"2689",0.872,0,0.002,0.072,0.054
"2690",0,0,0,0,1
"2691",0.004,0.018,0,0,0.978
"2692",0.94,0,0,0.036,0.024
"2693",0.264,0,0,0.736,0
"2694",0.054,0,0,0,0.946
"2695",0.266,0,0,0.734,0
"2696",0,0,0,0,1
"2697",1,0,0,0,0
"2698",1,0,0,0,0
"2699",0.104,0,0,0,0.896
"2700",0,0,0,0,1
"2701",1,0,0,0,0
"2702",0.716,0,0,0.062,0.222
"2703",1,0,0,0,0
"2704",0,0,0,0,1
"2705",0,0,0,0,1
"2706",0.508,0,0,0.492,0
"2707",0.952,0,0,0.048,0
"2708",0.232,0,0.058,0.692,0.018
"2709",0,0,0,0,1
"2710",0.292,0,0,0.708,0
"2711",0.952,0,0,0.048,0
"2712",0.018,0,0.004,0.748,0.23
"2713",0.866,0,0,0.134,0
"2714",1,0,0,0,0
"2715",0,0.022,0,0,0.978
"2716",1,0,0,0,0
"2717",0.996,0,0,0.002,0.002
"2718",0.952,0,0,0.048,0
"2719",1,0,0,0,0
"2720",0.972,0,0,0,0.028
"2721",0.07,0,0.01,0.824,0.096
"2722",0.974,0,0,0.026,0
"2723",0,0,0,0,1
"2724",0.044,0,0.072,0.074,0.81
"2725",0.034,0,0,0,0.966
"2726",0.982,0,0,0.018,0
"2727",0.972,0,0,0.018,0.01
"2728",0.042,0,0.002,0,0.956
"2729",0.888,0,0,0,0.112
"2730",0.832,0,0,0,0.168
"2731",1,0,0,0,0
"2732",0.108,0,0,0,0.892
"2733",0.01,0,0,0,0.99
"2734",0.854,0,0.004,0.09,0.052
"2735",0.932,0,0,0.002,0.066
"2736",0.272,0,0,0.728,0
"2737",0.85,0,0,0.008,0.142
"2738",0.208,0,0.004,0.774,0.014
"2739",0.008,0.002,0.69,0.062,0.238
"2740",0.702,0,0,0.05,0.248
"2741",0.652,0,0.138,0.122,0.088
"2742",0.034,0,0,0.022,0.944
"2743",0.882,0,0,0,0.118
"2744",0.006,0,0,0,0.994
"2745",0.964,0,0,0,0.036
"2746",0.184,0,0,0.814,0.002
"2747",0.98,0,0,0.02,0
"2748",0.3,0,0,0.7,0
"2749",0.734,0,0,0.004,0.262
"2750",0.186,0,0.006,0.808,0
"2751",0.876,0,0,0.118,0.006
"2752",0.994,0,0,0,0.006
"2753",0.986,0,0,0.014,0
"2754",0.256,0,0,0.744,0
"2755",0.078,0,0.002,0.212,0.708
"2756",0.03,0,0.03,0,0.94
"2757",0.518,0,0,0.482,0
"2758",0.008,0,0,0,0.992
"2759",0.072,0,0.002,0.602,0.324
"2760",0.04,0,0.07,0.038,0.852
"2761",0.864,0,0,0.004,0.132
"2762",0.986,0,0,0.014,0
"2763",0.908,0,0,0.092,0
"2764",0.96,0,0,0,0.04
"2765",0.022,0,0,0,0.978
"2766",0.186,0,0.012,0.766,0.036
"2767",1,0,0,0,0
"2768",1,0,0,0,0
"2769",0.73,0,0,0.044,0.226
"2770",0.024,0,0.002,0.882,0.092
"2771",0.988,0,0,0.012,0
"2772",0.074,0,0,0.47,0.456
"2773",1,0,0,0,0
"2774",0,0,0,0,1
"2775",0.01,0,0,0,0.99
"2776",0.984,0,0,0.016,0
"2777",0.002,0,0.006,0,0.992
"2778",0.872,0,0,0,0.128
"2779",0.02,0,0.006,0.574,0.4
"2780",0.448,0,0,0.552,0
"2781",0.02,0,0,0.592,0.388
"2782",0.996,0,0,0,0.004
"2783",0.83,0,0,0,0.17
"2784",0.972,0,0,0,0.028
"2785",0.594,0,0,0.01,0.396
"2786",0.94,0,0,0,0.06
"2787",0.892,0,0,0.002,0.106
"2788",0.008,0,0.008,0,0.984
"2789",0,0,0,0,1
"2790",0.492,0,0,0,0.508
"2791",1,0,0,0,0
"2792",1,0,0,0,0
"2793",0.194,0,0,0.806,0
"2794",0.074,0,0,0.576,0.35
"2795",1,0,0,0,0
"2796",0.346,0,0,0.654,0
"2797",0.996,0,0,0,0.004
"2798",0.276,0,0,0.694,0.03
"2799",0.172,0,0.002,0.802,0.024
"2800",1,0,0,0,0
"2801",0.45,0,0,0.108,0.442
"2802",0.986,0,0,0.002,0.012
"2803",0.224,0,0,0.746,0.03
"2804",0.824,0,0,0.022,0.154
"2805",0.998,0,0,0,0.002
"2806",0.012,0,0,0,0.988
"2807",0.026,0,0,0,0.974
"2808",1,0,0,0,0
"2809",0.974,0,0,0.026,0
"2810",0.186,0,0.006,0.808,0
"2811",0.288,0,0,0.712,0
"2812",0,0,0,0,1
"2813",1,0,0,0,0
"2814",0.266,0,0,0.734,0
"2815",0.628,0,0,0.072,0.3
"2816",1,0,0,0,0
"2817",0,0,0,0,1
"2818",1,0,0,0,0
"2819",0.364,0,0,0.636,0
"2820",1,0,0,0,0
"2821",0.216,0,0,0,0.784
"2822",0.912,0,0,0.088,0
"2823",0,0,0,0,1
"2824",0.218,0,0.006,0.774,0.002
"2825",0.672,0,0,0.088,0.24
"2826",0.91,0,0,0.09,0
"2827",0.25,0,0,0.75,0
"2828",0.184,0,0,0.814,0.002
"2829",0.25,0,0,0.75,0
"2830",0.964,0,0,0,0.036
"2831",0.764,0,0,0.05,0.186
"2832",0.074,0,0,0.31,0.616
"2833",0.878,0,0,0,0.122
"2834",1,0,0,0,0
"2835",0.898,0,0,0.102,0
"2836",0.232,0,0,0.766,0.002
"2837",0.784,0,0,0.09,0.126
"2838",0,0,0,0,1
"2839",0.044,0,0.206,0.022,0.728
"2840",0.08,0.002,0.002,0.216,0.7
"2841",0.986,0,0,0.014,0
"2842",1,0,0,0,0
"2843",0.236,0,0,0.764,0
"2844",0,0,0,0,1
"2845",0.518,0,0,0.482,0
"2846",1,0,0,0,0
"2847",0.866,0,0,0.134,0
"2848",1,0,0,0,0
"2849",0.084,0,0,0.098,0.818
"2850",1,0,0,0,0
"2851",0.058,0,0.304,0.124,0.514
"2852",1,0,0,0,0
"2853",0.92,0,0,0,0.08
"2854",0.996,0,0,0,0.004
"2855",1,0,0,0,0
"2856",0.956,0,0,0,0.044
"2857",0.97,0,0,0.03,0
"2858",1,0,0,0,0
"2859",0.642,0,0,0,0.358
"2860",0.848,0,0.03,0.002,0.12
"2861",0.068,0,0,0.6,0.332
"2862",0,0,0,0,1
"2863",0.012,0,0,0,0.988
"2864",1,0,0,0,0
"2865",0.986,0,0,0.014,0
"2866",0.006,0,0,0,0.994
"2867",0,0,0.022,0,0.978
"2868",0.832,0.002,0,0.08,0.086
"2869",0.96,0,0,0,0.04
"2870",0.236,0,0,0.764,0
"2871",0.878,0,0,0,0.122
"2872",0.862,0,0,0.13,0.008
"2873",0.898,0,0,0.1,0.002
"2874",0.766,0,0,0.006,0.228
"2875",0.988,0,0,0.012,0
"2876",0.034,0.008,0,0,0.958
